Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2013,2014,2015
I. Penerimaan,1432058.6,1545456.3,1496047.33
Penerimaan Perpajakan,1077306.7,1146865.8,1240418.86
 Pajak Dalam Negeri,1029850,1103217.6,1205478.89
  Pajak Penghasilan,506442.8,546180.9,602308.13
  Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,384713.5,409181.6,423710.82
  Pajak Bumi dan Bangunan,25304.6,23476.2,29250.05
  Bea Perolehan Hak atas Tanah dan Bangunan,0,0,0.3
  Cukai,108452,118085.5,144641.3
  Pajak Lainnya,4937.1,6293.4,5568.3
 Pajak Perdagangan Internasional,47456.6,43648.1,34939.97
  Bea Masuk,31621.3,32319.1,31212.82
  Pajak Ekspor,15835.4,11329,3727.15
Penerimaan Bukan Pajak,354751.9,398590.5,255628.48
 Penerimaan Sumber Daya Alam,226406.2,240848.3,100971.87
 Pendapatan dari Kekayaan Negara yang Dipisahkan,34025.6,40314.4,37643.72
 Penerimaan Bukan Pajak Lainnya,69671.9,87746.8,81697.43
 Pendapatan Badan Layanan Umum,24648.2,29681,35315.46
II. Hibah,6832.5,5034.5,11973.04
Jumlah,1438891.1,1550490.8,1508020.37
