PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2019,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1442549.48,1467584.81,1512796.69,1513468.49,5936399.47
"a. Makanan dan Minuman, Selain Restoran",530680.73,539118.68,556717.17,552602.57,2179119.14
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",56594.61,58060.26,57882.24,58383.42,230920.53
c. Perumahan dan Perlengkapan Rumahtangga,194291.96,197612.11,200549.95,203922.14,796376.16
d. Kesehatan dan Pendidikan,101012.98,102066.59,107270.27,107293.81,417643.65
e. Transportasi dan Komunikasi,357092.58,364618.75,376648.13,376325.65,1474685.11
f. Restoran dan Hotel,135257.07,137644.28,143615.96,145450.15,561967.47
g. Lainnya,67619.54,68464.13,70112.98,69490.74,275687.39
2. Pengeluaran Konsumsi LNPRT,34348.26,35070.44,33238.36,33370.36,136027.41
3. Pengeluaran Konsumsi Pemerintah,153748.38,209471.3,207784.19,284959.13,855962.99
a. Konsumsi Kolektif,94859.72,131553.53,126641.95,178440.02,531495.22
b. Konsumsi Individu,58888.66,77917.77,81142.24,106519.11,324467.77
4. Pembentukan Modal Tetap Domestik Bruto,861640.89,865774.7,917553.03,952695.51,3597664.13
a. Bangunan,645280.75,648328.86,679372.09,714321.39,2687303.09
b. Mesin dan Perlengkapan,91463.63,88203.06,105040.8,102294.38,387001.88
c. Kendaraan,47346.78,47270.55,48779.61,50123.26,193520.2
d. Peralatan Lainnya,14026.39,13741.14,15183.24,15162.73,58113.51
e. CBR,43504.46,46918.68,47243.73,52084.23,189751.1
f. Produk Kekayaan Intelektual,20018.87,21312.41,21933.56,18709.51,81974.36
5. Perubahan Inventori,61523.99,59179.55,35709.17,-26458.87,129953.84
6. Ekspor Barang dan Jasa,547617.75,541848.28,603451.13,582571.09,2275488.26
a. Barang,489170.45,482360.73,535250.24,520066.41,2026847.84
a.1. Barang Non-migas,435084.7,438150.68,484173.11,472112.95,1829521.44
a.b. Barang migas,54085.75,44210.06,51077.13,47953.47,197326.4
b. Jasa,58447.3,59487.55,68200.89,62504.68,248640.42
7. Dikurangi Impor Barang dan Jasa,492861.99,495399.15,519921.79,538061.27,2046244.2
a. Barang,424694.15,424999.69,447422.01,459340.07,1756455.93
a.1. Barang Non-migas,365085.32,353118.4,383640.19,383718.32,1485562.23
a.b. Barang migas,59608.84,71881.29,63781.82,75621.75,270893.69
b. Jasa,68167.84,70399.46,72499.78,78721.2,289788.27
Diskrepansi Statistik,16613.75,51884.16,28201.93,-32796.33,63903.51
8. PRODUK DOMESTIK BRUTO,2625180.5,2735414.1,2818812.7,2769748.1,10949155.4
