PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2020,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1483329.23,1386530.18,1451572.68,1458791.35,5780223.44
"a. Makanan dan Minuman, Selain Restoran",557270.91,535191.06,552855.19,544933.79,2190250.95
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",54724.83,55073.27,55398.14,55994.56,221190.8
c. Perumahan dan Perlengkapan Rumahtangga,202687.64,202272.48,204195.86,205384.31,814540.29
d. Kesehatan dan Pendidikan,108951.29,104126.73,109470.92,107985.05,430533.98
e. Transportasi dan Komunikasi,351048.99,308718.51,333089.69,340751.77,1333608.96
f. Restoran dan Hotel,138555.07,114893.6,127898.11,134865.28,516212.06
g. Lainnya,70090.5,66254.54,68664.76,68876.6,273886.4
2. Pengeluaran Konsumsi LNPRT,32635.16,32340.5,32600.18,32730.64,130306.47
3. Pengeluaran Konsumsi Pemerintah,159694.34,195839.49,228164.91,290446.83,874145.57
a. Konsumsi Kolektif,95570.39,117260.37,133786.5,180428.65,527045.91
b. Konsumsi Individu,64123.95,78579.12,94378.4,110018.18,347099.65
4. Pembentukan Modal Tetap Domestik Bruto,876325.83,791207.14,857689.27,893959.37,3419181.61
a. Bangunan,663115.71,614245.37,641327.25,666934.64,2585622.97
b. Mesin dan Perlengkapan,87877.92,76890.49,83009.15,94564.68,342342.23
c. Kendaraan,48635.15,31103.01,41632.62,46852.88,168223.66
d. Peralatan Lainnya,14361.45,10155.9,12870.61,14591.29,51979.25
e. CBR,43494.99,39940.73,57762.72,53877.44,195075.9
f. Produk Kekayaan Intelektual,18840.62,18871.64,21086.92,17138.43,75937.6
5. Perubahan Inventori,50546.33,66004.87,-7509.07,-57708,51334.13
6. Ekspor Barang dan Jasa,549851.76,468226.03,526683.23,539180.83,2083941.85
a. Barang,498697.16,445542.7,502131.88,510444.73,1956816.47
a.1. Barang Non-migas,452698.5,400437.05,455263.02,460408.35,1768806.92
a.b. Barang migas,45998.66,45105.65,46868.86,50036.39,188009.55
b. Jasa,51154.6,22683.33,24551.35,28736.1,127125.38
7. Dikurangi Impor Barang dan Jasa,463061.4,390004.19,389806.37,443131.82,1686003.79
a. Barang,402868.08,353802.13,347484.56,394451.4,1498606.17
a.1. Barang Non-migas,333230.35,302265.3,296899.62,338841.02,1271236.3
a.b. Barang migas,69637.73,51536.83,50584.94,55610.37,227369.87
b. Jasa,60193.33,36202.06,42321.81,48680.43,187397.62
Diskrepansi Statistik,13705.85,39625.2,21086.47,-4547.49,69870.03
8. PRODUK DOMESTIK BRUTO,2703027.1,2589769.2,2720481.3,2709721.7,10722999.3
